pID, freqAR, freqVR,accAccuracy, absPerformance, absMental, absPhysical, absTemporal, absEffort,absFrustration, abs3Focus, abs2Focus, abs1Focus, raPerformance, raMental, raPhysical, raTemporal, raEffort,raFrustration, ra3Focus, ra2Focus, ra1Focus, rfPerformance, rfMental, rfPhysical, rfTemporal,rfEffort,rfFrustration, rf3Focus,rf2Focus,rf1Focus, tctabsRank, tctraRank, tctrfRank, accabsRank, accraRank, accrfRank, generalabsRank, generalraRank, generalrfRank
0,5,2,7,11,17,14,12,16,14,0,0,0,15,11,12,12,11,8,0,0,2,15,11,12,12,11,8,0,0,2,3,1,1,3,1,1,3,1,1
1,2,2,7,8,7,13,1,15,12,0,0,0,16,3,12,1,11,10,1,2,0,9,8,13,1,13,13,2,2,0,2,1,3,2,1,3,2,1,3
2,1,1,5,14,13,14,2,5,4,2,1,0,18,19,18,1,2,1,0,0,0,14,5,20,12,10,13,0,2,1,2,1,3,2,1,3,2,1,3
3,3,3,6,18,2,4,1,5,2,1,1,1,16,10,4,5,11,6,2,2,0,19,11,5,7,6,1,0,0,1,1,3,2,2,3,1,3,2,1
4,2,2,5,7,12,17,4,9,9,2,2,2,16,11,7,7,3,5,2,2,2,18,3,3,2,2,2,2,2,2,3,2,1,3,2,1,3,2,1
5,2,2,5,14,11,13,8,10,8,0,0,0,10,15,13,8,14,14,0,0,0,12,11,10,8,12,9,0,0,0,2,3,1,1,3,2,2,3,1
6,1,1,3,18,16,10,7,7,2,0,0,0,18,14,18,8,11,5,0,0,0,19,14,14,5,13,5,0,0,0,3,2,1,3,2,1,3,2,1
7,1,1,5,16,2,0,5,4,0,1,0,1,18,5,2,1,10,0,1,0,0,19,9,2,1,10,3,1,0,0,1,2,3,1,2,3,1,2,3
8,3,4,6,13,8,8,9,9,8,2,0,0,18,4,6,12,5,3,0,0,0,16,6,6,9,8,4,2,0,0,3,1,2,3,1,2,3,1,2
9,1,1,6,11,8,5,10,11,5,2,1,1,14,6,3,11,7,5,0,2,0,14,5,2,11,13,8,2,0,1,3,2,1,3,1,2,3,2,1
10,5,1,6,13,11,10,5,13,14,1,1,1,16,16,10,5,18,13,1,2,1,16,16,9,5,15,11,2,0,1,2,3,1,3,2,1,3,2,1
11,1,2,5,16,9,13,7,11,6,1,1,1,18,8,9,14,5,4,0,1,1,15,8,16,12,14,14,1,1,1,3,1,2,3,1,2,3,1,2
12,1,5,7,16,4,13,0,5,0,0,0,0,17,1,5,2,5,0,0,0,0,16,5,5,7,5,2,2,0,0,1,2,3,2,1,3,1,2,3
13,2,2,6,13,12,3,11,12,0,0,0,0,14,12,3,11,12,0,0,0,0,14,12,3,11,12,0,0,0,0,3,1,2,3,1,2,3,1,2
14,1,2,6,8,10,10,10,18,17,0,0,0,19,12,10,10,10,6,2,2,2,16,17,10,12,15,12,2,0,2,2,1,3,3,1,2,3,1,2
15,2,2,6,18,16,19,8,10,5,0,0,0,20,4,14,6,8,2,0,0,0,15,17,10,4,10,10,2,2,2,2,1,3,2,1,3,2,1,3
16,1,2,6,11,7,10,10,13,10,0,0,0,13,11,14,10,10,7,0,0,0,10,10,12,10,10,10,2,0,0,2,1,3,1,2,3,2,1,3
17,5,3,7,11,16,19,14,16,10,1,1,2,13,12,10,10,12,4,1,1,2,14,12,7,10,11,2,0,1,0,3,2,1,3,1,2,3,2,1
